epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,17990.6,1.31797,1.54372,0.82522,0.39932,0.13386,0.26713,0.19357,1.26112,1.4131,0.80436,0.000733799,0.000733799,0.000733799
61,18266.4,1.30779,1.53457,0.82237,0.40002,0.13593,0.26856,0.19454,1.25933,1.40916,0.80422,0.000704073,0.000704073,0.000704073
62,18542.2,1.31654,1.53382,0.82201,0.3976,0.13716,0.26819,0.19466,1.25765,1.40552,0.80404,0.000674649,0.000674649,0.000674649
63,18816.9,1.32019,1.55765,0.82253,0.40502,0.13858,0.27296,0.19889,1.25563,1.40164,0.80386,0.000645557,0.000645557,0.000645557
64,19092.1,1.3021,1.51972,0.82363,0.41228,0.14079,0.27759,0.1999,1.25384,1.3978,0.80367,0.000616824,0.000616824,0.000616824
65,19367.9,1.30123,1.52242,0.82085,0.4118,0.14135,0.27761,0.20054,1.25219,1.39449,0.80358,0.000588479,0.000588479,0.000588479
66,19643.4,1.29869,1.51847,0.82145,0.40808,0.14445,0.27674,0.20063,1.25082,1.39098,0.80345,0.000560549,0.000560549,0.000560549
67,19919.3,1.30136,1.52318,0.82141,0.40705,0.14484,0.27685,0.20123,1.24843,1.38741,0.80333,0.000533064,0.000533064,0.000533064
68,20196.2,1.29944,1.52393,0.82331,0.40619,0.14458,0.27642,0.20022,1.24676,1.38369,0.80321,0.000506049,0.000506049,0.000506049
69,20473.8,1.29071,1.5049,0.82014,0.40901,0.14639,0.27919,0.20213,1.24524,1.38026,0.80303,0.000479531,0.000479531,0.000479531
70,20751.7,1.28632,1.48194,0.82086,0.41524,0.14826,0.28335,0.20582,1.24323,1.37717,0.80291,0.000453537,0.000453537,0.000453537
71,21028,1.29467,1.50356,0.82045,0.41517,0.15001,0.28432,0.20674,1.24196,1.37384,0.80275,0.000428093,0.000428093,0.000428093
72,21305.4,1.28302,1.49576,0.8211,0.41444,0.15165,0.28484,0.20603,1.24026,1.3705,0.80264,0.000403222,0.000403222,0.000403222
73,21582.5,1.28474,1.48389,0.81927,0.41528,0.15364,0.2864,0.20692,1.23898,1.36797,0.80253,0.00037895,0.00037895,0.00037895
74,21861.9,1.28214,1.49417,0.82003,0.41977,0.15625,0.28927,0.20888,1.23795,1.36485,0.80245,0.000355301,0.000355301,0.000355301
75,22141.9,1.27885,1.47958,0.8196,0.41715,0.15744,0.28905,0.20904,1.23708,1.36235,0.80233,0.000332298,0.000332298,0.000332298
76,22420.6,1.27325,1.47477,0.81935,0.42514,0.15866,0.29357,0.2106,1.23543,1.35965,0.8023,0.000309964,0.000309964,0.000309964
77,22700.8,1.27707,1.47306,0.81998,0.42436,0.1591,0.29349,0.21106,1.23431,1.35745,0.80217,0.000288321,0.000288321,0.000288321
78,22979.2,1.26993,1.46735,0.81837,0.42493,0.16155,0.2947,0.2115,1.23346,1.35466,0.80207,0.00026739,0.00026739,0.00026739
79,23258,1.26897,1.46677,0.81938,0.42758,0.16333,0.29663,0.2129,1.23307,1.35256,0.80197,0.000247192,0.000247192,0.000247192
80,23537.4,1.27661,1.46963,0.81863,0.42841,0.164,0.29767,0.21359,1.23245,1.35108,0.80185,0.000227747,0.000227747,0.000227747
81,23816.7,1.26574,1.46855,0.81919,0.42784,0.16507,0.29811,0.21388,1.23133,1.34896,0.80179,0.000209073,0.000209073,0.000209073
82,24095.4,1.2719,1.47277,0.8185,0.42416,0.16563,0.29658,0.21245,1.23123,1.34703,0.80174,0.00019119,0.00019119,0.00019119
83,24375.4,1.26353,1.46361,0.81916,0.42128,0.16569,0.29524,0.21183,1.23069,1.34517,0.80168,0.000174115,0.000174115,0.000174115
84,24653.4,1.25912,1.4476,0.81831,0.42528,0.16602,0.29774,0.21433,1.22989,1.34368,0.80166,0.000157865,0.000157865,0.000157865
85,24933.4,1.26045,1.44795,0.81872,0.42772,0.16726,0.29946,0.21502,1.22906,1.34187,0.80161,0.000142456,0.000142456,0.000142456
86,25215.9,1.26312,1.45741,0.81757,0.4274,0.16719,0.29936,0.21532,1.22869,1.34029,0.80152,0.000127904,0.000127904,0.000127904
87,25495.6,1.26445,1.45246,0.82028,0.42785,0.1681,0.29993,0.21552,1.22763,1.33851,0.80143,0.000114221,0.000114221,0.000114221
88,25774.6,1.2605,1.45417,0.81645,0.427,0.16831,0.29978,0.21614,1.22741,1.33674,0.80137,0.000101423,0.000101423,0.000101423
89,26055.7,1.25828,1.45088,0.81826,0.43435,0.16933,0.30393,0.21945,1.22652,1.33506,0.80131,8.95213e-05,8.95213e-05,8.95213e-05
90,26334,1.25066,1.44579,0.81631,0.43576,0.17018,0.30482,0.2201,1.22619,1.33374,0.80129,7.8528e-05,7.8528e-05,7.8528e-05
91,26613.2,1.20137,1.34989,0.81576,0.43879,0.17023,0.30585,0.22122,1.22712,1.33356,0.80129,6.8454e-05,6.8454e-05,6.8454e-05
92,26887,1.1893,1.30994,0.81525,0.43561,0.17069,0.30464,0.22024,1.22709,1.33371,0.80121,5.93093e-05,5.93093e-05,5.93093e-05
93,27161.2,1.18505,1.30742,0.81383,0.4403,0.17153,0.30705,0.22209,1.22704,1.33293,0.80111,5.11027e-05,5.11027e-05,5.11027e-05
94,27436.1,1.19387,1.32494,0.81567,0.44003,0.17351,0.30793,0.22169,1.22767,1.33287,0.80108,4.38424e-05,4.38424e-05,4.38424e-05
95,27711.4,1.18323,1.30306,0.8138,0.43428,0.1734,0.30585,0.22032,1.22775,1.33222,0.80106,3.75356e-05,3.75356e-05,3.75356e-05
96,27987.2,1.18397,1.30415,0.81321,0.43481,0.17372,0.30629,0.22028,1.22743,1.33168,0.80098,3.21885e-05,3.21885e-05,3.21885e-05
97,28263.4,1.18196,1.29985,0.81375,0.4333,0.17491,0.30619,0.22026,1.22743,1.33109,0.801,2.78064e-05,2.78064e-05,2.78064e-05
98,28538.1,1.18046,1.29645,0.81471,0.43356,0.17527,0.30635,0.22058,1.22743,1.33068,0.80097,2.43937e-05,2.43937e-05,2.43937e-05
99,28822.4,1.18127,1.28907,0.81291,0.43322,0.17542,0.30654,0.22084,1.22762,1.33049,0.80092,2.19535e-05,2.19535e-05,2.19535e-05
100,29108.1,1.18131,1.29592,0.81514,0.43353,0.17558,0.3068,0.22099,1.22781,1.33017,0.80086,2.04885e-05,2.04885e-05,2.04885e-05
